ID,NAME,LAT,LONG,ELEVATION
1,precipitation1,22.41682132,99.60708891,1340.77600097656
2,precipitation2,22.18827428,99.74240883,1264.29968261719
3,precipitation3,22.21997559,101.68441252,1143.11096191406
4,precipitation4,22.31201739,101.79965274,796.218322753906
5,precipitation5,22.26631627,102.0807464,1024.99340820312
6,precipitation6,22.08102939,101.67267651,845.641784667969
7,precipitation7,22.07490975,101.78396331,853.119018554688
8,precipitation8,22.06031373,102.01553496,702.269836425781
9,precipitation9,22.03456186,101.80663857,733.593078613281
10,precipitation10,21.95632634,101.78932756,863.111755371094
11,precipitation11,22.33137131,99.958898,979.878479003906
12,precipitation12,21.92565806,100.08822938,1227.68408203125
13,precipitation13,21.97013881,99.81630109,1139.61938476562
14,precipitation14,21.91002057,99.97839453,847.450317382812
15,precipitation15,22.04720279,99.58783576,1200.37976074219
16,precipitation16,21.85681046,99.74204405,966.599975585938
17,precipitation17,21.96851182,99.39972545,1601.55712890625
18,precipitation18,21.81642275,99.5291446,1285.21862792969
19,precipitation19,21.90961841,99.56049665,969.358520507812
20,precipitation20,21.73373117,99.67963363,1039.25219726562
21,precipitation21,21.8485122,101.97713238,802.730041503906
22,precipitation22,21.96017449,102.32031658,518.222839355469
23,precipitation23,21.78013648,102.19549021,418.146759033203
24,precipitation24,21.69956007,102.03780486,841.26513671875
25,precipitation25,21.79751189,99.94931321,910.306396484375
26,precipitation26,21.74014054,100.08405937,1102.23669433594
27,precipitation27,21.78150266,100.22591957,1040.16455078125
28,precipitation28,21.76643617,102.48794009,879.740478515625
29,precipitation29,21.76362897,102.5813847,949.060363769531
30,precipitation30,21.61636749,99.86760318,873.311401367188
31,precipitation31,21.66791044,102.18070251,1036.18676757812
32,precipitation32,21.62139106,102.2956328,667.395263671875
33,precipitation33,21.66036304,102.40452762,609.38818359375
34,precipitation34,21.67110997,99.43704587,973.104736328125
35,precipitation35,21.56843011,100.11238698,1107.12243652344
36,precipitation36,21.61650577,100.27868414,1212.66003417969
37,precipitation37,21.40052813,99.58222836,791.793640136719
38,precipitation38,21.47780858,100.25519019,817.477661132812
39,precipitation39,21.6242487,101.88670063,973.025207519531
40,precipitation40,21.48806985,101.84172856,713.99365234375
41,precipitation41,21.48692339,102.11012094,904.340087890625
42,precipitation42,21.39616714,101.9185216,655.062805175781
43,precipitation43,21.50104082,102.34838134,1120.92797851562
44,precipitation44,21.38492274,102.00094214,704.0302734375
45,precipitation45,21.23097663,99.54214215,1453.17138671875
46,precipitation46,21.34537873,101.83737592,962.905517578125
47,precipitation47,21.40005971,100.55666705,815.679931640625
48,precipitation48,21.25987989,99.70514993,1172.92004394531
49,precipitation49,21.35425473,99.95441507,1613.63293457031
50,precipitation50,21.37383756,100.96833602,795.280029296875
51,precipitation51,21.25977945,101.96160118,867.479248046875
52,precipitation52,21.31030766,102.17233683,814.12841796875
53,precipitation53,21.42948007,103.04912585,510.276092529297
54,precipitation54,21.29927218,102.36218978,413.978637695312
55,precipitation55,21.42593222,102.5693589,798
56,precipitation56,21.18732934,103.06619336,511.411010742188
57,precipitation57,21.21920016,100.71762018,739.709289550781
58,precipitation58,21.1168497,100.81329951,1058.9990234375
59,precipitation59,21.18855686,100.38256394,546.0966796875
60,precipitation60,21.09874826,100.38211429,700.236755371094
61,precipitation61,21.15586861,100.19662042,1026.35412597656
62,precipitation62,21.12723595,102.15695543,668.26123046875
63,precipitation63,21.16814358,102.48401896,471.331329345703
64,precipitation64,21.02934569,100.18801806,673.200012207031
65,precipitation65,21.05612067,100.46249384,750.686279296875
66,precipitation66,21.06757509,100.62950119,442.227172851562
67,precipitation67,21.06489402,102.57754788,471.050994873047
68,precipitation68,21.23988249,102.79298024,459.091094970703
69,precipitation69,21.03296043,102.37216017,721.162170410156
70,precipitation70,21.07496169,101.39473715,742.350708007812
71,precipitation71,21.04695069,101.60674802,787.108764648438
72,precipitation72,20.97450848,102.63485996,652.65087890625
73,precipitation73,21.06522302,102.8594044,516.381042480469
74,precipitation74,20.99380609,100.95366032,856.792785644531
75,precipitation75,21.0399832,99.79597765,1183.74719238281
76,precipitation76,20.92173654,100.52357149,594.415161132812
77,precipitation77,20.82486876,99.93946094,575.557739257812
78,precipitation78,20.96236745,100.00161485,738.009582519531
79,precipitation79,20.88909892,100.68499786,741.013549804688
80,precipitation80,20.95983792,102.21574009,550.040832519531
81,precipitation81,20.91092898,101.48190116,779.214782714844
82,precipitation82,21.02205994,101.964662,834.936767578125
83,precipitation83,20.85012388,99.74074235,960.570739746094
84,precipitation84,20.8438877,100.63610416,578.449584960938
85,precipitation85,20.95857421,102.93570158,861.969116210938
86,precipitation86,20.87807474,102.64496528,734.535766601562
87,precipitation87,20.8418369,102.72541209,386.584655761719
88,precipitation88,20.79131243,102.84327056,568.325439453125
89,precipitation89,20.84073667,101.24084976,710.451721191406
90,precipitation90,20.84681953,100.1513877,827.086059570312
91,precipitation91,20.82044126,100.81415711,522.094116210938
92,precipitation92,20.81732196,101.0414228,839.122619628906
93,precipitation93,20.84947905,101.5178791,735.760009765625
94,precipitation94,20.75173559,100.22913803,384.874969482422
95,precipitation95,20.8331357,100.38002861,409.234436035156
96,precipitation96,20.87056359,101.73225845,580.606689453125
